example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
"что очень {{много}} - в тайге {{много}} чего - зверей, пушнины и всего, всякой рыбы, вся=",,много чего,pronoun,,,,,,,,,,,,,,Sira camp,F,secondary,Nanai,itg,1945,JezdilaKOtzu (itg) [2013],online-corpus_202104,"[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] что очень {{много}} - в тайге {{много}} чего - зверей, пушнины и всего, всякой рыбы, вся="
лиса... а вас {{много}}?,excluded,вас много,pronoun,,,,,,,,,,,,,,Achan,F,higher,Nanai,lak,1947,SkazkaXongmo (lak) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] лиса... а вас {{много}}?
а вас {{много}}?,excluded,вас много,pronoun,,,,,,,,,,,,,,Achan,F,higher,Nanai,lak,1947,SkazkaXongmo (lak) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] а вас {{много}}? [угу 9реплика записывающего)]
а вас много?,excluded,вас много,pronoun,,,,,,,,,,,,,,Achan,F,higher,Nanai,lak,1947,SkazkaXongmo (lak) [2016],online-corpus_202104,[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] а вас много? [угу {{9реплика}} записывающего)]
"народу {{много}}, нас {{много}}, говорит",excluded,нас много,pronoun,,,,,,,,,,,,,,Achan,F,higher,Nanai,lak,1947,SkazkaXongmo (lak) [2016],online-corpus_202104,"[pob: Achan; gender: F; edu: higher; lng: Nanai; speaker: lak; yob: 1947] народу {{много}}, нас {{много}}, говорит [угу (реплика записывающего)]"
А нас {{четверо:}} {ПЕРЕКЛ} и... мама,excluded,нас четверо,pronoun,,,,,,,,,,,,,,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,BioOtetsVPlenu (nsz) [2016],online-corpus_202104,[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] \n [nsz] А нас {{четверо:}} {ПЕРЕКЛ} и... мама
"Так чтобы ... что-то там интересоваться она == ей некогда было, нас в семье много было",,нас много,pronoun,,,standard,,,,,,,,,,,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102,
Када мы маленькие были их {{много}} было.,,их много,pronoun,,,,,,,,,,,,,,Naikhin,F,higher,Nanai,ssb,1933,drakony (ssb) [2015],online-corpus_202104,[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] Када мы маленькие были их {{много}} было.
"Там же озеро и заливы, и их {{много}} было.",,их много,pronoun,,,,,,,,,,,,,,Naikhin,F,higher,Nanai,ssb,1933,drakony (ssb) [2015],online-corpus_202104,"[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] Там же озеро и заливы, и их {{много}} было."
Мы трое были,,мы трое,pronoun,,,standard,,,,,,,,,,,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102,
Мамка как нас везла троих,,нас троих,pronoun,,,standard,,,,,,,,,,,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102,
Там они оба учились,,они оба,pronoun,,,,,,,,,,,,,,Xaldon?,F,primary?,Kur-Urmi,vak,1932,gldku_vak_110803_so_o sebe-rus_210217_iv.eaf,elan_pract_202102,
Я их {{двоих}} обниму,,их двоих,pronoun,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Я их {{двоих}} обниму
Ну я их {{обоих}} привела...,,их обоих,pronoun,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Ну я их {{обоих}} привела...
О-ё-ё-\ его {{сколько}} мешками\ таскали,excluded,его сколько,pronoun,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,OvsjanajaKasha (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] О-ё-ё-\ его {{сколько}} мешками\ таскали
Раньше были американцы/ там у нас тоже\ {{много}} их,excluded,много их,pronoun,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija2 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Раньше были американцы/ там у нас тоже\ {{много}} их
Он {{много}} кой= он {{много}} кой-чего знает/,excluded,много кой-чего,pronoun,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Он {{много}} кой= он {{много}} кой-чего знает/
Еще {{сколько}} их было\,excluded,сколько их,pronoun,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Еще {{сколько}} их было\
Вот {{сколько\}} их,excluded,сколько их,pronoun,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Вот {{сколько\}} их
"У меня тоже\ вон, это... {{двух}} дочерей мужья оба русские\",excluded,двух дочерей,non_nom,два,,standard,,rus,,,,,,,,standard,Novaja Ferma,F,secondary (specialized),Ulcha,aid,1931,UlchskijZabyli (aid) [2017],online-corpus_202104,"[pob: Novaja Ferma; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: aid; yob: 1931] У меня тоже\ вон, это... {{двух}} дочерей мужья оба русские\"
Напечатаешь на двух языках или на трёх там...,excluded,двух языках,non_nom,два,,standard,,rus,,,,,,,,standard,Dzhuen,M,secondary?,Nanai,anpk,1957,gld_apk_110808_so_o sebe-rus_20210217_ek.eaf,elan_pract_202102,
"Мы заберем его, он вырастет до 12 лет, они его забирают",,двенадцати лет,non_nom,двенадцать,лет,standard,,rus,main,,,time,num_noun,other,,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,gld_ivg&gak_110806_so_obychai-rus_022021_GP.eaf,elan_pract_202102,
"а марочка это знаете,как это как камоя с {{двух}} сторон острая да? камоя",,двух сторон,non_nom,два,,standard,,rus,,,,,,,,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,biografija (gak) [2011],online-corpus_202104,"[pob: Troitskoje; gender: F; edu: secondary; lng: Nanai; speaker: gak; yob: 1961] \n [gak] а марочка это знаете,как это как камоя с {{двух}} сторон острая да? камоя"
На этих\ {{двух/}} ручках-то,excluded,двух ручках,non_nom,два,,standard,,rus,,,,,,,,standard,Kadaki camp,F,secondary (specialized),Ulcha,gip,1934,DedChuringa (gip) [2017],online-corpus_202104,[pob: Kadaki camp; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gip; yob: 1934] На этих\ {{двух/}} ручках-то
Ну и вот здесь они решили == вот когда они= она родила/ решили ... назвать {{двумя}} именем\,excluded,двумя именем,non_nom,два,именем,nonstandard,,,paucal,,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,ObrjadyObmanyvaliDuhov (gnv) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Ну и вот здесь они решили == вот когда они= она родила/ решили ... назвать {{двумя}} именем\
Да\ поэтому называли {{двумя}} именем\,excluded,двумя именем,non_nom,два,именем,nonstandard,,,paucal,,,other,num_noun,other,,standard,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,ObrjadyObmanyvaliDuhov (gnv) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Да\ поэтому называли {{двумя}} именем\
Третий брат/ где-то там на развилке/ эээ {{двух}} ре= рек\ больших рек\ остановился,excluded,двух рек,non_nom,два,,standard,,rus,,,,,,,,standard,Aori,M,higher,Ulcha,ipr,1957,PorodnilisjRosugbu (ipr) [2017],online-corpus_202104,[pob: Aori; gender: M; edu: higher; lng: Ulcha; speaker: ipr; yob: 1957] Третий брат/ где-то там на развилке/ эээ {{двух}} ре= рек\ больших рек\ остановился
"Они-то нас бросили, {{двоих}} девчонок.",,двоих девчонок,non_nom,двое,,standard,,rus,,,,,,,,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,JezdilaKOtzu (itg) [2013],online-corpus_202104,"[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] Они-то нас бросили, {{двоих}} девчонок."
Вот еще жить мене до {{девяноста}} лет,,девяноста лет,non_nom,девяносто,,standard,,rus,,,,,,,,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104,[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] Вот еще жить мене до {{девяноста}} лет
"Считается, до {{сорока}} дней он имеет право как бы возвращаться, а по {{сорока}} дней он должен уже уйти и не тревожить.",excluded,сорока дней,non_nom,сорок,дней,standard,gen_pl,rus,main,,,time,num_noun,other,,standard,Dzhuen,F,higher,Nanai,ivg,1955,PoxoronnyjeObrjady (ivg) [2011],online-corpus_202104,"[pob: Dzhuen; gender: F; edu: higher; lng: Nanai; speaker: ivg; yob: 1955] Считается, до {{сорока}} дней он имеет право как бы возвращаться, а по {{сорока}} дней он должен уже уйти и не тревожить."
"Считается, до {{сорока}} дней он имеет право как бы возвращаться, а по {{сорока}} дней он должен уже уйти и не тревожить.",excluded,сорока дней,non_nom,сорок,дней,standard,gen_pl,rus,main,,,time,num_noun,other,,standard,Dzhuen,F,higher,Nanai,ivg,1955,PoxoronnyjeObrjady (ivg) [2011],online-corpus_202104,"[pob: Dzhuen; gender: F; edu: higher; lng: Nanai; speaker: ivg; yob: 1955] Считается, до {{сорока}} дней он имеет право как бы возвращаться, а по {{сорока}} дней он должен уже уйти и не тревожить."
У вас она идет с двумя слогами,excluded,двумя слогами,non_nom,два,,standard,,rus,,,,,,,,standard,Dzhuen,F,higher,Nanai,ivg,1955,gld_ivg&gak_110806_so_nanai obychai i jazyk-rus_022021_GP.eaf,elan_pract_202102,
"А ты помнишь/ сказку-то про= про {{двух}} братьев-то\ один дурак/ был, а один этот?",excluded,двух братьев,non_nom,два,,standard,,rus,,,,,,,,standard,?,M,?,Nanai,kx,1950?,Skazka (kx) [2011],online-corpus_202104,"[pob: ?; gender: M; edu: ?; lng: Nanai; speaker: kx; yob: 1950?] \n [kx] А ты помнишь/ сказку-то про= про {{двух}} братьев-то\ один дурак/ был, а один этот?"
Тут ммм могли иметь до {{четырех}} жен\/ ...,excluded,четырех жен,non_nom,четыре,жен,standard,gen_sg,rus,paucal,,,human,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Тут ммм могли иметь до {{четырех}} жен\/ ...
Вооот\ и вообще более {{пятидесяти}} поселений уже раскопаны\ как бы,excluded,пятидесяти поселений,non_nom,пятьдесят,поселений,standard,gen_pl,rus,main,,,other,num_noun,other,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Вооот\ и вообще более {{пятидесяти}} поселений уже раскопаны\ как бы
"А на такие простые/ ну минимум месяц\... так рабочих дней сосчитать/ вот так вот, как работа с {{двумя}} выходными\/ тааам {{семь}} {{восемь}} часов\/ дааа\ месяц\",excluded,двумя выходными,non_nom,два,,standard,,rus,,,,,,,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] А на такие простые/ ну минимум месяц\... так рабочих дней сосчитать/ вот так вот, как работа с {{двумя}} выходными\/ тааам {{семь}} {{восемь}} часов\/ дааа\ месяц\"
И вот на этих эээ очень широких/ они даже ммм до {{двух}} метров ширины/,excluded,двух метров,non_nom,два,,standard,,rus,,,,,,,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] И вот на этих эээ очень широких/ они даже ммм до {{двух}} метров ширины/
Внутри там очаг/ с {{двух}} сторон\ делали,excluded,двух сторон,non_nom,два,,standard,,rus,,,,,,,,standard,Kondon,F,higher,Nanai,lfs,1954,NanajskijDom (lfs) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] \n [lfs] Внутри там очаг/ с {{двух}} сторон\ делали
С {{обеих/}} сторон прыгнули\,excluded,обеих сторон,non_nom,оба,сторон,standard,,,,,,,,,,standard,Aori,F,higher (incomplete),Ulcha,lpd,1939,MatjShlaIzBogorodska (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] С {{обеих/}} сторон прыгнули\
И вдруг/ ... {{обеих/}} сторон\ ... и дедушка\ ... Вальдю\ ... и бабушка\ наша ... Енеке\,excluded,обеих сторон,non_nom,оба,сторон,standard,,,,,,,,,,standard,Aori,F,higher (incomplete),Ulcha,lpd,1939,MatjShlaIzBogorodska (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] И вдруг/ ... {{обеих/}} сторон\ ... и дедушка\ ... Вальдю\ ... и бабушка\ наша ... Енеке\
{{Двух}} божков/,excluded,двух божков,non_nom,два,,standard,,rus,,,,,,,,standard,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioBabushkaDuje (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] {{Двух}} божков/
Она/ она/ она/ ... привезла/ {{двух}} божков\,excluded,двух божков,non_nom,два,,standard,,rus,,,,,,,,standard,Aori,F,higher (incomplete),Ulcha,lpd,1939,BioBabushkaDuje (lpd) [2017],online-corpus_202104,[pob: Aori; gender: F; edu: higher (incomplete); lng: Ulcha; speaker: lpd; yob: 1939] Она/ она/ она/ ... привезла/ {{двух}} божков\
Она прожила больше {{ста}} лет,excluded,ста лет,non_nom,сто,лет,standard,gen_pl,rus,main,,,time,num_noun,other,,standard,Dudi,F,higher?,Ulcha,nao,1955,BioRodstvenniki (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Она прожила больше {{ста}} лет
Они приехали сюда с {{двумя}} старшими детьми ...,excluded,двумя детьми,non_nom,два,,standard,,rus,,,,,,,,standard,Dudi,F,higher?,Ulcha,nao,1955,PlacesDudi (nao) [2020],online-corpus_202104,[pob: Dudi; gender: F; edu: higher?; lng: Ulcha; speaker: nao; yob: 1955] \n [nao] Они приехали сюда с {{двумя}} старшими детьми ...
На {{трех\}} оленях уже,,трех оленях,non_nom,три,оленях,standard,gen_sg,rus,paucal,,,animal,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] На {{трех\}} оленях уже
На {{трех}} ножках/,,трех ножках,non_nom,три,ножках,standard,gen_sg,rus,paucal,,,other,num_noun,other,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] На {{трех}} ножках/
Потом третий/ раз... это всё с {{обеих}} сторон выскоблят/,,обеих сторон,non_nom,оба,сторон,standard,,,,,,,,,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] \n [oab] Потом третий/ раз... это всё с {{обеих}} сторон выскоблят/
Это уже надо с {{обоИх}} сторон/ скоблить,,обоих сторон,non_nom,оба,сторон,standard,,,,,,,,,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] Это уже надо с {{обоИх}} сторон/ скоблить
На {{двух}} оленях\...,,двух оленях,non_nom,два,,standard,,rus,,,,,,,,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] На {{двух}} оленях\...
Если женщина\ у которой родИлись дво= дво= {{двоих}} детей\,excluded,двоих детей,non_nom,двое,,standard,,rus,,,,,,,,standard,Murka camp,M,secondary (specialized),Ulcha,pld,1917,UtoplennikDushiBliznetsov (pld) [1971],online-corpus_202104,[pob: Murka camp; gender: M; edu: secondary (specialized); lng: Ulcha; speaker: pld; yob: 1917] Если женщина\ у которой родИлись дво= дво= {{двоих}} детей\
"В двух словах, и всё",,двух словах,non_nom,два,,standard,,rus,,,,,,,,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_Kazama-rus_20210220_ek.eaf,elan_pract_202102,
"Вот как бы с {{двух}} сторон, {{два}} рода самаров.",excluded,двух сторон,non_nom,два,,standard,,rus,,,,,,,,standard,Kondon,F,higher,Nanai,sds,1944,legenda_o_Samarax (sds) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: sds; yob: 1944] Вот как бы с {{двух}} сторон, {{два}} рода самаров."
Нууу где учились...большинство до {{четырееех}} классов,,четырех классов,non_nom,четыре,классов,standard,gen_sg,rus,paucal,,,countable,num_noun,other,,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104,[pob: Kondon; gender: F; edu: ?; lng: Nanai; speaker: tmb; yob: 1929] \n [tmb] Нууу где учились...большинство до {{четырееех}} классов
Но в Солонцах/ - это в {{десяти}} километрах\ от Кольчема,,десяти километрах,non_nom,десять,километрах,standard,,rus,main,,,measure,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Но в Солонцах/ - это в {{десяти}} километрах\ от Кольчема
Ну около {{5}} месяцев,,пяти месяцев,non_nom,пять,месяцев,standard,gen_pl,rus,main,,,time,num_noun,other,,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Ну около {{5}} месяцев
До {{трех}} года/ никому\,excluded,трех года,non_nom,три,года,nonstandard,,,paucal,,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] До {{трех}} года/ никому\
Если <НРЗБ> скажешь/ до {{трех}} года,excluded,трех года,non_nom,три,года,nonstandard,,,paucal,,,time,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Если <НРЗБ> скажешь/ до {{трех}} года
{{Четыре}} досках\,excluded,четыре досках,non_nom,четыре,досках,nonstandard,,,paucal,,,other,num_noun,other,,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MatjRodilaPodAmbarom (vsg) [2011],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Четыре}} досках\
{{трех}} драконов. Вот так дожно=должно быть,excluded,трех драконов,non_nom,три,драконов,standard,gen_sg,rus,paucal,,,animal,num_noun,other,,standard,Muhu,F,secondary (specialized),Nanai,znb,1936,LegendaDrakonXalat (znb) [2011],online-corpus_202104,[pob: Muhu; gender: F; edu: secondary (specialized); lng: Nanai; speaker: znb; yob: 1936] {{трех}} драконов. Вот так дожно=должно быть
"Ульчскую мелодию, говорит, я {{много}} накачала",excluded,мелодию много,doubtful,,,nonstandard,,,,,,,,,"?""я много накачала"" - мб относительное придаточное: ульческую мелодию - я много накачала интернете говорит - ты пошли мне... ",,Kolchom,F,secondary (specialized),Ulcha,mav,1955,RazgovoryKtoKakGovorit_ish (gkb&mav&laa) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Ульчскую мелодию, говорит, я {{много}} накачала"
Ну это ее ... сёстры/ были {{две}}?,excluded,сёстры две,doubtful,,,nonstandard,,,,,,,,,??? (ее сестры были две (девушки)),,Kondon?,F,secondary?,Nanai,vsg_daughter,1950s,Shaman (vsg) [2015],online-corpus_202104,[speaker: vsg_daughter] \n [vsg_daughter] Ну это ее ... сёстры/ были {{две}}?
"И этот полковник, теми старыми деньгами {{десять}} тыщач, взял с собой.",,десять тысяч,тысяча,,,,,,,,,,,,,,Sira camp,F,secondary,Nanai,itg,1945,SluchajShamanElginySpasSynaPolkovnika (itg) [2017],online-corpus_202104,"[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] И этот полковник, теми старыми деньгами {{десять}} тыщач, взял с собой."
"И этот полковник, теми старыми деньгами десять {{тыщач}}, взял с собой.",,десять тысяч,тысяча,,,,,,,,,,,,,,Sira camp,F,secondary,Nanai,itg,1945,SluchajShamanElginySpasSynaPolkovnika (itg) [2017],online-corpus_202104,"[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] И этот полковник, теми старыми деньгами десять {{тыщач}}, взял с собой."
"Ммм ... очень это\ {{пять}} тыщ лет назад/ люди\ тут жили, довольно == довольно густонаселенное\ было",excluded,пять тыщ лет,тысяча,,,,,,,,,,,,,,Kondon,F,higher,Nanai,lfs,1954,NanajPeople (lfs) [2011],online-corpus_202104,"[pob: Kondon; gender: F; edu: higher; lng: Nanai; speaker: lfs; yob: 1954] Ммм ... очень это\ {{пять}} тыщ лет назад/ люди\ тут жили, довольно == довольно густонаселенное\ было"
"Она в двух {{тыщ}}, так, втором году мне прислала книжку",excluded,двух тысяч,тысяча,,,,,,,,,,,,,,Kolchom,F,secondary (specialized),Ulcha,mav,1955,Razgovory (gkb&ssa&mav) [2020],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: mav; yob: 1955] Она в двух {{тыщ}}, так, втором году мне прислала книжку"
