example_number,example,context,numeral,noun,standard,expression,pattern,num_type,num_semantics,noun_semantics,wo,mass_noun,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection
11,{{60}} лет работала...,шестьдесят лет,шестьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104
12,{{86}} лет ц....,восемьдесят шесть лет,восемьдесят,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104
13,"{{Вот...11}} лет всего было мне, даже {{11}} не было, пошла рыбачить...",одиннадцать лет,одиннадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
14,{{Два-три}} шаг/ не могу\,два-три шаг,три,шаг,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
15,{{два}} года за мной муж ухаживал,два года,два,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Troitskoje,F,secondary,Nanai,gak,1961,biografija (gak) [2011],online-corpus_202104
16,{{Два}} класса образования\,два класса,два,класса,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,Biografia (vas) [2017],online-corpus_202104
17,{{Два}} кувшин\,два кувшин,два,кувшин,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
18,{{Два}} месяца...,два месяца,два,месяца,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
19,{{Два}} оленя\ тоже ... пришли за ними.,два оленя,два,оленя,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104
20,{{Два}} пацана/?,два пацана,два,пацана,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
21,{{Два}} с лишним лет,два с лишним лет,два,лет,nonstandard,gen_pl,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
22,{{Два}} собака\ {ǯuər inda}\,два собака,два,собака,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,DedPoshelNaOxotu (vsg) [2015],online-corpus_202104
23,{{Два}} сыыына у меня,два сына,два,сына,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
24,{{Два}} титьку {kučexa/} - и наелась\ и всё\/,два титьку,два,титьку,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
25,{{Два/}} дня - нету\,два дня,два,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,ZhirSoxatogo (vsg) [2015],online-corpus_202104
26,"{{Двадцать}} {{пять}} рублей\/ были {{сколько-то}} {{сколько,}} ну\/",двадцать пять рублей,двадцать пять,рублей,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
27,{{Двадцать/}} сохатых\,двадцать сохатых,двадцать,сохатых,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,DedPoshelNaOxotu (vsg) [2015],online-corpus_202104
28,{{Две}} бутылки это ... яблоко== яблочной было и все,две бутылки,два,бутылки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
29,{{две}} печки == не современные а древненанайские печки ...,две печки,два,печки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
30,"{{Двести}} грамм\ хлеба давали, ну\/",двести грамм,двести,грамм,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
31,{{Двести}} центнер\ тянули были,двести центнер,двести,центнер,nonstandard,nom_sg,tung,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,OVojne (fna) [2012],online-corpus_202104
32,{{Двести}} центнера\,двести центнера,двести,центнера,nonstandard,gen_sg,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,OVojne (fna) [2012],online-corpus_202104
33,{{Двое}} пацанчика\,двое пацанчика,двое,пацанчика,nonstandard,gen_sg,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
34,{{Двое/}} пришли - {{два}} норма\,два норма,два,норма,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
35,{{Девять}} штук мантО на коврик <шум> положила.,девять штук манто,девять,штук манто,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,SluchajShamankaVAmerike (itg) [2017],online-corpus_202104
36,{{Десять}} классов.,десять классов,десять,классов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
37,{{Десять}} лет\ она не портится,десять лет,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,NanajskijeBljuda (vsg) [2011],online-corpus_202104
38,{{Десять}} лет\ папка сказал не портится,десять лет,десять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
39,{{Мало}} делов==...куча бельяяя,мало делов,мало,делов,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
40,{{Много}} зверей.,много зверей,много,зверей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Naikhin,M,higher,Nanai,nchb,1937,SkazkaDvaStarika_rus (nchb) [2012],online-corpus_202104
41,{{Много}} лет же уже как у <НРЗБ>,много лет,много,лет,standard,gen_pl,rus,gen_pl,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
42,{{Много}} рыбы поймали/,много рыбы,много,рыбы,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Dada,F,primary,Nanai,fna,1930,OVojne (fna) [2012],online-corpus_202104
43,{{Много}} рыбы поймали/ и сдавали на фронт\ ну\,много рыбы,много,рыбы,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
44,{{Обои}} сыновья\ говорит приходили\,обои сыновья,оба,сыновья,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SobachjeMoloko (vsg) [2012],online-corpus_202104
45,{{Пять}} коров зашли откуда-то,пять коров,пять,коров,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
46,{{Пять}} кубометр каааждый...звенооо,пять кубометр,пять,кубометр,nonstandard,nom_sg,tung,gen_pl,large,time&measure,num_noun,other,nonstandard,Kondon,F,?,Nanai,tmb,1929,OSebe (tmb) [2011],online-corpus_202104
47,{{Пять}} минут...одни еще раздеться не успели,пять минут,пять,минут,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVshi (vas) [2017],online-corpus_202104
48,"{{Пять\}} шагов, {{шесть\}} шагов - отсюда как тронулась/",пять шагов,пять,шагов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
49,"{{Пять\}} шагов, {{шесть\}} шагов - отсюда как тронулась/",шесть шагов,шесть,шагов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
50,{{Семеро}} детей\,семеро детей,семеро,детей,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
51,"{{Семь}} домик\ жили, все\!",семь домик,семь,домик,nonstandard,nom_sg,tung,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104
52,{{Сколько-то}} лет ... {{тридцать\}} мне было тогда,лет тридцать,тридцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
53,{{Сколько/}} лета?,сколько лета,сколько,лета,nonstandard,nom_pl,tung,gen_pl,basic,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
54,{{Сорок}} лет уже,сорок лет,сорок,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104
55,"{{Три}} года подряд вот так, да",три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
56,{{Три}} года сполнится/ тогда хоть кому\ скажи,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
57,{{Три}} года/ говорит {ŋujt əǯ gisurərə\ unǯi},три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
58,{{Три}} года/ никому\ не сказать,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
59,{{Три}} года/ никому\ ни слова!,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
60,{{Три}} года\ наверно,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
61,{{Три}} года\ я никому не рассказывала,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
62,{{Три}} де= у них {{два}} девочки на виду/ похоронили\,два девочки,два,девочки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,BogatyjStarikUmer (vsg) [2015],online-corpus_202104
63,{{Три}} дня пена\ вышла - вот этот белый\,три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
64,{{Три}} дОска делают так на длину/,три дОска,три,дОска,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
65,{{Три}} жена\/,три жена,три,жена,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,BogatyjStarik (vsg) [2015],online-corpus_202104
66,"{{Три}} класса кончила - все-таки немножко, ага.",три класса,три,класса,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
67,{{Три}} книги\ послал,три книги,три,книги,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,EthnoVerevki (oab) [2017],online-corpus_202104
68,{{Три}} медведь\,три медведь,три,медведь,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
69,{{Три}} ножки/,три ножки,три,ножки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104
70,{{Три}} раза,три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
71,{{Три}} раза вот так.,три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,KamlanijeVLesu (rchk) [2011],online-corpus_202104
72,"{{Три}} раза кушать, {{три}} раза дает",три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
73,"{{Три}} раза кушать, {{три}} раза дает",три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
74,{{Три}} раза моя мать говорила,три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
75,{{Три}} раза поминку после смерти делать,три раза,три,раза,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,ProstoRazgovory&NanajskijSud&Pominki (itg) [2017],online-corpus_202104
76,{{Три}} ряд\ делают,три ряд,три,ряд,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MedvezhijPrazdnik (vsg) [2011],online-corpus_202104
77,{{Три/}} года растёт потом это\,три года,три,года,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,MedvezhijPrazdnik (oab) [2018],online-corpus_202104
78,{{Три\}} дня она болела/,три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Putintseva (vsg) [2015],online-corpus_202104
79,{{Тринадцать}} лет еще маленький\ молодая\ ну\/,тринадцать лет,тринадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104
80,{{Тринадцать}} штук\,тринадцать штук,тринадцать,штук,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
81,{{Четыре}} ... год оставили/,четыре год,четыре,год,nonstandard,nom_sg,tung,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,VydaliZaStarika (vsg) [2015],online-corpus_202104
82,{{Четыре\}} медведь убивай,четыре медведь,четыре,медведь,nonstandard,nom_sg,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
83,{{Четыре\/}} мешка поймала,четыре мешка,четыре,мешка,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
84,{{Шестнадцать}} лет прожил\ мой дед,шестнадцать лет,шестнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
85,{{Шестнадцать}} лет\,шестнадцать лет,шестнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
86,{{Шестнадцать}} лет\ никакой лекарство не давала\,шестнадцать лет,шестнадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
87,{xaj} тот богатый == бедный старик/ {čində} давал {{много}} хлеба\,много хлеба,много,хлеба,standard,gen_mass,rus,gen_pl,basic,non_time&measure,num_noun,mass,nonstandard,Udan camp,F,primary,Ulcha,spk,1930,SkazkaDvaStarika (spk) [2017],online-corpus_202104
88,\n Я еле == Тка бЫла {{полтора}} годика/,полтора годика,оба,годика,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,KondonskijKlub (vsg) [2015],online-corpus_202104
89,"<НРЗБ> {{семь}}, ну положено {{семь}} листов писать.",семь листов,семь,листов,standard,gen_pl,rus,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,Shkola (ssb) [2015],online-corpus_202104
90,"<НРЗБ> Она умерла у меня, ей было 95 лет",девяносто пять лет,девяносто пять,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,gld_rchk_110807_so_o sebe1-rus_15022021_KL.eaf,elan_pract_202102
91,"А {{семь}} до= се=... Не\ не {{семь\}} домик, подожди\",семь домик,семь,домик,nonstandard,nom_sg,tung,gen_pl,large,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija1 (vsg) [2012],online-corpus_202104
92,А {{сколько}} у них детей\ он говорит,сколько детей,сколько,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
93,А {{сколько/}} комната?,сколько комната,сколько,комната,nonstandard,nom_sg,tung,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104
94,А {{сколько/}} у них детей?,сколько детей,сколько,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104
95,А бед= бедный старик .... это ... дети\ {{много}} было,дети много,много,дети,nonstandard,nom_pl,tung,gen_pl,basic,non_time&measure,noun_num,other,nonstandard,Udan camp,F,primary,Ulcha,spk,1930,SkazkaBednyjBogatyj (spk) [2017],online-corpus_202104
96,А вот есть ли дети/ {{два}} сыновья,два сыновья,два,сыновья,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,SobachjeMoloko (vsg) [2012],online-corpus_202104
97,А вот эти {{три/}} братья,три братья,три,братья,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
98,а высота больше ... == значит {{два}} с половиной или {{три}} метра этого ... дыма == это самое этой трубы ...,два или три метра,три,метра,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104
99,А дети ... {{четверо\}} детей,четверо детей,четверо,детей,standard,gen_pl,rus,gen_pl,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,RanjsheVKondone (vsg) [2015],online-corpus_202104
100,А другой дома\ часа {{два-три}} было\ умер\,часа два-три,два,часа,standard,gen_sg,rus,gen_sg,basic,time&measure,noun_num,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,MatjRodilaPodAmbarom (vsg) [2011],online-corpus_202104
101,А Дуди/ == у них же Дуди/ {{семь}} километры ниже раньше был стойбище\ Вэсэ\,семь километры,семь,километры,nonstandard,nom_pl,tung,gen_pl,large,time&measure,num_noun,other,nonstandard,Dudi,F,primary,Ulcha,oab,1935,PesnjaDudiPereskaz (oab) [2017],online-corpus_202104
102,А кто работает - {{пятьсот}} грамм дали.,пятьсот грамм,пятьсот,грамм,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
103,А мне было {{11}} лет...,одиннадцать лет,одиннадцать,лет,standard,gen_pl,rus,gen_pl,large,time&measure,num_noun,other,nonstandard,Kolchom,F,higher,Ulcha,vas,1933,BioVaria (vas) [2017],online-corpus_202104
104,А мне кажется еще {{три}} парни\ были,три парни,три,парни,nonstandard,nom_pl,tung,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Biografija3 (vsg) [2012],online-corpus_202104
105,"А мы в том конце деревни жили, и они оттуда меня на горбу {{две}} бабки попеременке меня таскали.",две бабки,два,бабки,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,BabkaVylechila (rchk) [2011],online-corpus_202104
106,А мы один раз тянем - {{двести}} центнер рыбу поймаем.,двести центнер,двести,центнер,nonstandard,nom_sg,tung,gen_pl,large,time&measure,num_noun,other,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104
107,А отходит/ {{два-три}} дня - всё\ опять так же болею\,два-три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sorgolj camp,F,primary,Nanai,vsg,1932,Medvezhatina (vsg) [2012],online-corpus_202104
108,"А потом мясо остаётся и вот шампуры делают вот, с палок шампуры и туда вот эти кусочки. {{Три-четыре}} шампурчика вот таких наделают.",три-четыре шампурчика,четыре,шампурчика,standard,gen_sg,rus,gen_sg,basic,non_time&measure,num_noun,other,nonstandard,Achan,F,secondary,Nanai,rchk,1942,JeliMedvedja (rchk) [2011],online-corpus_202104
109,"А потом он {{три}} дня отдохнул,",три дня,три,дня,standard,gen_sg,rus,gen_sg,basic,time&measure,num_noun,other,nonstandard,Sira camp,F,secondary,Nanai,itg,1945,JezdilaKOtzu (itg) [2013],online-corpus_202104
